ArticleType,FileName,Link,Source,Title,發布單位,資料來源,聯絡人,聯絡資訊,發布日期,下架日期,相關檔案
1,https://ws.thb.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNDM2L3JlbGZpbGUvMTI4MjMvMjY3NzkzLzc5ZWQ1MGIxLTNmZGUtNGYyYi04MDBhLTAwNzAyZWU2MTc1ZS56aXA%3d&n=5YWs6Lev5Lqk6YCa6YeP6Kq%2f5p%2bl57Wx6KiI6KGoLTExM%2bW5tOW6pi56aXA%3d,,https://www.thb.gov.tw/News_Content.aspx?n=273&s=267793,公路交通量調查統計表-113年度,BC-7A-E3-1F-40-34-44-4C-B2-F4-4C-3E-B1-83-A1-75,交通部公路局-交通管理組-交通管理科,許建誠,02-23070123,2025/3/12 下午 01:40:00,,公路交通量調查統計表-113年度(https://ws.thb.gov.tw/001/Upload/436/relfile/12823/267793/79ed50b1-3fde-4f2b-800a-00702ee6175e.zip);
1,https://ws.thb.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNDM2L3JlbGZpbGUvMTI4MjMvMjM5OTgzLzUwYmQ4NzZhLWU4ZTktNDVmYS05MTNiLWMwMzhjZjA4NzIxYS56aXA%3d&n=5YWs6Lev5Lqk6YCa6YeP6Kq%2f5p%2bl57Wx6KiI6KGoLTExMuW5tOW6pijkv64pLnppcA%3d%3d,,https://www.thb.gov.tw/News_Content.aspx?n=273&s=239983,公路交通量調查統計表-112年度,BC-7A-E3-1F-40-34-44-4C-B2-F4-4C-3E-B1-83-A1-75,交通部公路局-交通管理組-交通管理科,,,2024/2/23 下午 01:39:00,,公路交通量調查統計表-112年度(修)(https://ws.thb.gov.tw/001/Upload/436/relfile/12823/239983/50bd876a-e8e9-45fa-913b-c038cf08721a.zip);
1,https://ws.thb.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNDM2L3JlbGZpbGUvMTI4MjMvMjA5MjkyL2MyZTU2ODI1LWRjYTQtNGM2NC1iZjQ5LTRmNWY5ZWQ1ZGUxNC56aXA%3d&n=5YWs6Lev5Lqk6YCa6YeP6Kq%2f5p%2bl57Wx6KiI6KGoLTExMeW5tOW6pi56aXA%3d,,https://www.thb.gov.tw/News_Content.aspx?n=273&s=209292,公路交通量調查統計表-111年度,BC-7A-E3-1F-40-34-44-4C-B2-F4-4C-3E-B1-83-A1-75,交通部公路局-交通管理組-交通管理科,,,2023/2/6 下午 05:24:00,,公路交通量調查統計表-111年度(https://ws.thb.gov.tw/001/Upload/436/relfile/12823/209292/c2e56825-dca4-4c64-bf49-4f5f9ed5de14.zip);
1,https://ws.thb.gov.tw/Download.ashx?u=LzAwMS91cGxvYWQvT2xkRmlsZS9yZXNvdXJjZS91cGxvYWQvRG93bmxvYWQvQTM5QkMyRTMtODRCNC00MEVBLUFDNDMtNDYyNDdGRkNFMDYwLnppcA%3d%3d&n=5YWs6Lev5Lqk6YCa6YeP6Kq%2f5p%2bl57Wx6KiI6KGoLTExMOW5tOW6pjEwMTMuemlw,,https://www.thb.gov.tw/News_Content.aspx?n=273&s=162073,公路交通量調查統計表-110年度,BC-7A-E3-1F-40-34-44-4C-B2-F4-4C-3E-B1-83-A1-75,,,,2022/4/1 上午 11:22:05,,公路交通量調查統計表-110年度(https://ws.thb.gov.tw/001/upload/OldFile/resource/upload/Download/A39BC2E3-84B4-40EA-AC43-46247FFCE060.zip);
1,https://ws.thb.gov.tw/Download.ashx?u=LzAwMS91cGxvYWQvT2xkRmlsZS9yZXNvdXJjZS91cGxvYWQvRG93bmxvYWQvQ0EwREQ1RTYtNDk1Ny00QkEwLUE5MjYtRDFDNkY4ODExOTdELnppcA%3d%3d&n=5YWs6Lev5Lqk6YCa6YeP6Kq%2f5p%2bl57Wx6KiI6KGoLTEwOeW5tOW6pi56aXA%3d,,https://www.thb.gov.tw/News_Content.aspx?n=273&s=1190,公路交通量調查統計表-109年度,BC-7A-E3-1F-40-34-44-4C-B2-F4-4C-3E-B1-83-A1-75,,,,2021/2/18 上午 11:04:21,,公路交通量調查統計表-109年度(https://ws.thb.gov.tw/001/upload/OldFile/resource/upload/Download/CA0DD5E6-4957-4BA0-A926-D1C6F881197D.zip);
1,https://ws.thb.gov.tw/Download.ashx?u=LzAwMS91cGxvYWQvT2xkRmlsZS9yZXNvdXJjZS91cGxvYWQvRG93bmxvYWQvMzZBQjQwNTctREI5MS00OTY2LThGNjMtOTgwNTNFQ0Y3QzM1LnppcA%3d%3d&n=5YWs6Lev5Lqk6YCa6YeP6Kq%2f5p%2bl57Wx6KiI6KGoLTEwOOW5tOW6pl%2fkv64uemlw,,https://www.thb.gov.tw/News_Content.aspx?n=273&s=1181,公路交通量調查統計表-108年度,BC-7A-E3-1F-40-34-44-4C-B2-F4-4C-3E-B1-83-A1-75,,,,2020/7/6 上午 11:02:39,,公路交通量調查統計表-108年度(https://ws.thb.gov.tw/001/upload/OldFile/resource/upload/Download/36AB4057-DB91-4966-8F63-98053ECF7C35.zip);
1,https://ws.thb.gov.tw/Download.ashx?u=LzAwMS91cGxvYWQvT2xkRmlsZS9yZXNvdXJjZS91cGxvYWQvRG93bmxvYWQvNzQwRDg3NUEtNzY3OC00Q0ZFLTkxOEEtNTBDNDk5QzBDMEI3LnppcA%3d%3d&n=5YWs6Lev5Lqk6YCa6YeP6Kq%2f5p%2bl57Wx6KiI6KGoLTEwN%2bW5tOW6pl%2fkv64uemlw,,https://www.thb.gov.tw/News_Content.aspx?n=273&s=1163,公路交通量調查統計表-107年度,92-8A-92-33-CB-FF-C0-4A-BC-B0-A5-4A-C6-84-1D-0C,,,,2019/4/16 下午 04:37:08,,公路交通量調查統計表-107年度(https://ws.thb.gov.tw/001/upload/OldFile/resource/upload/Download/740D875A-7678-4CFE-918A-50C499C0C0B7.zip);
1,https://ws.thb.gov.tw/Download.ashx?u=LzAwMS91cGxvYWQvT2xkRmlsZS9yZXNvdXJjZS91cGxvYWQvRG93bmxvYWQvM0Y3MTJFMkMtREU3Ny00RTVFLTkwRTItRDFFM0IxRkVDMUVELnJhcg%3d%3d&n=5YWs6Lev5Lqk6YCa6YeP6Kq%2f5p%2bl57Wx6KiI6KGoLTEwNuW5tOW6piAucmFy,,https://www.thb.gov.tw/News_Content.aspx?n=273&s=1153,公路交通量調查統計表-106年度 ,92-8A-92-33-CB-FF-C0-4A-BC-B0-A5-4A-C6-84-1D-0C,,,,2019/4/16 下午 04:36:13,,公路交通量調查統計表-106年度 (https://ws.thb.gov.tw/001/upload/OldFile/resource/upload/Download/3F712E2C-DE77-4E5E-90E2-D1E3B1FEC1ED.rar);
1,https://ws.thb.gov.tw/Download.ashx?u=LzAwMS91cGxvYWQvT2xkRmlsZS9yZXNvdXJjZS91cGxvYWQvRG93bmxvYWQvRUYxMTMxMkYtQTM1NS00MjVFLTkwN0UtMzlGMTE2MjVFOTlGLnJhcg%3d%3d&n=5YWs6Lev5Lqk6YCa6YeP6Kq%2f5p%2bl57Wx6KiI6KGoLTEwNeW5tOW6pi5yYXI%3d,,https://www.thb.gov.tw/News_Content.aspx?n=273&s=1139,公路交通量調查統計表-105年度,92-8A-92-33-CB-FF-C0-4A-BC-B0-A5-4A-C6-84-1D-0C,,,,2017/6/15 上午 11:15:16,,公路交通量調查統計表-105年度(https://ws.thb.gov.tw/001/upload/OldFile/resource/upload/Download/EF11312F-A355-425E-907E-39F11625E99F.rar);
1,https://ws.thb.gov.tw/Download.ashx?u=LzAwMS91cGxvYWQvT2xkRmlsZS9yZXNvdXJjZS91cGxvYWQvRG93bmxvYWQvRTA3Nzc3OTYtQUE3Qi00RTE3LTkzRkItMjBFQ0IzOTNGRkFCLnJhcg%3d%3d&n=5YWs6Lev5Lqk6YCa6YeP6Kq%2f5p%2bl57Wx6KiI6KGoLTEwNOW5tOW6pi5yYXI%3d,,https://www.thb.gov.tw/News_Content.aspx?n=273&s=1129,公路交通量調查統計表-104年度,92-8A-92-33-CB-FF-C0-4A-BC-B0-A5-4A-C6-84-1D-0C,,,,2016/10/26 下午 05:20:36,,公路交通量調查統計表-104年度(https://ws.thb.gov.tw/001/upload/OldFile/resource/upload/Download/E0777796-AA7B-4E17-93FB-20ECB393FFAB.rar);
