COUNTYNAME,TOWNNAME,TOWNCODE,AREA,POPULARITY,人口密度
新北市,板橋區,65000010,23.14 ,553538.00 ,23924.05 
新北市,三重區,65000020,16.32 ,383355.00 ,23494.21 
新北市,中和區,65000030,20.14 ,405956.00 ,20152.70 
新北市,永和區,65000040,5.71 ,213742.00 ,37408.03 
新北市,新莊區,65000050,19.74 ,423503.00 ,21455.90 
新北市,新店區,65000060,120.23 ,306571.00 ,2549.97 
新北市,樹林區,65000070,33.13 ,178981.00 ,5402.58 
新北市,鶯歌區,65000080,21.12 ,89339.00 ,4229.11 
新北市,三峽區,65000090,191.45 ,115335.00 ,602.43 
新北市,淡水區,65000100,70.66 ,200726.00 ,2840.87 
新北市,汐止區,65000110,71.24 ,210817.00 ,2959.44 
新北市,瑞芳區,65000120,70.73 ,36330.00 ,513.62 
新北市,土城區,65000130,29.56 ,241224.00 ,8161.09 
新北市,蘆洲區,65000140,7.44 ,198359.00 ,26678.73 
新北市,五股區,65000150,34.86 ,93860.00 ,2692.24 
新北市,泰山區,65000160,19.16 ,77667.00 ,4053.54 
新北市,林口區,65000170,54.15 ,136075.00 ,2512.84 
新北市,深坑區,65000180,20.58 ,23636.00 ,1148.57 
新北市,石碇區,65000190,144.35 ,7068.00 ,48.96 
新北市,坪林區,65000200,170.84 ,6324.00 ,37.02 
新北市,三芝區,65000210,65.99 ,22080.00 ,334.59 
新北市,石門區,65000220,51.26 ,10397.00 ,202.81 
新北市,八里區,65000230,39.49 ,42674.00 ,1080.54 
新北市,平溪區,65000240,71.34 ,4049.00 ,56.76 
新北市,雙溪區,65000250,146.25 ,7686.00 ,52.55 
新北市,貢寮區,65000260,99.97 ,10719.00 ,107.22 
新北市,金山區,65000270,49.21 ,20059.00 ,407.59 
新北市,萬里區,65000280,63.38 ,20622.00 ,325.39 
新北市,烏來區,65000290,321.13 ,6309.00 ,19.65 
臺北市,松山區,63000010,9.29 ,191826.00 ,20653.55 
臺北市,信義區,63000020,11.21 ,205067.00 ,18296.97 
臺北市,大安區,63000030,11.36 ,289908.00 ,25516.93 
臺北市,中山區,63000040,13.68 ,215245.00 ,15731.87 
臺北市,中正區,63000050,7.61 ,148375.00 ,19504.80 
臺北市,大同區,63000060,5.68 ,118992.00 ,20943.76 
臺北市,萬華區,63000070,8.85 ,171915.00 ,19420.60 
臺北市,文山區,63000080,31.51 ,258333.00 ,8198.71 
臺北市,南港區,63000090,21.84 ,112643.00 ,5157.08 
臺北市,內湖區,63000100,31.58 ,273748.00 ,8668.75 
臺北市,士林區,63000110,62.37 ,264194.00 ,4236.04 
臺北市,北投區,63000120,56.82 ,240623.00 ,4234.71 
桃園市,桃園區,68000010,34.80 ,475798.00 ,13670.55 
桃園市,中壢區,68000020,76.52 ,435050.00 ,5685.44 
桃園市,大溪區,68000030,105.12 ,94404.00 ,898.05 
桃園市,楊梅區,68000040,89.12 ,181526.00 ,2036.81 
桃園市,蘆竹區,68000050,75.50 ,169936.00 ,2250.73 
桃園市,大園區,68000060,87.39 ,88166.00 ,1008.85 
桃園市,龜山區,68000070,72.02 ,183895.00 ,2553.47 
